"Date/Time", "Heart Rate (bpm)"
"May 25, 2026 at 18:04:08", 100
"May 25, 2026 at 18:04:09", 100
"May 25, 2026 at 18:04:10", 99
"May 25, 2026 at 18:04:11", 99
"May 25, 2026 at 18:04:12", 99
"May 25, 2026 at 18:04:13", 99
"May 25, 2026 at 18:04:14", 98
"May 25, 2026 at 18:04:15", 97
"May 25, 2026 at 18:04:16", 97
"May 25, 2026 at 18:04:17", 96
"May 25, 2026 at 18:04:18", 96
"May 25, 2026 at 18:04:19", 96
"May 25, 2026 at 18:04:20", 96
"May 25, 2026 at 18:04:21", 95
"May 25, 2026 at 18:04:22", 96
"May 25, 2026 at 18:04:23", 96
"May 25, 2026 at 18:04:24", 96
"May 25, 2026 at 18:04:25", 96
"May 25, 2026 at 18:04:26", 97
"May 25, 2026 at 18:04:27", 99
"May 25, 2026 at 18:04:28", 102
"May 25, 2026 at 18:04:29", 104
"May 25, 2026 at 18:04:30", 104
"May 25, 2026 at 18:04:31", 105
"May 25, 2026 at 18:04:32", 107
"May 25, 2026 at 18:04:33", 110
"May 25, 2026 at 18:04:34", 112
"May 25, 2026 at 18:04:35", 113
"May 25, 2026 at 18:04:36", 114
"May 25, 2026 at 18:04:37", 115
"May 25, 2026 at 18:04:38", 116
"May 25, 2026 at 18:04:39", 116
"May 25, 2026 at 18:04:40", 117
"May 25, 2026 at 18:04:41", 117
"May 25, 2026 at 18:04:42", 116
"May 25, 2026 at 18:04:43", 116
"May 25, 2026 at 18:04:44", 116
"May 25, 2026 at 18:04:45", 114
"May 25, 2026 at 18:04:46", 113
"May 25, 2026 at 18:04:47", 112
"May 25, 2026 at 18:04:48", 111
"May 25, 2026 at 18:04:49", 111
"May 25, 2026 at 18:04:50", 110
"May 25, 2026 at 18:04:51", 109
"May 25, 2026 at 18:04:52", 108
"May 25, 2026 at 18:04:53", 107
"May 25, 2026 at 18:04:54", 107
"May 25, 2026 at 18:04:55", 106
"May 25, 2026 at 18:04:56", 105
"May 25, 2026 at 18:04:57", 105
"May 25, 2026 at 18:04:58", 106
"May 25, 2026 at 18:04:59", 106
"May 25, 2026 at 18:05:00", 106
"May 25, 2026 at 18:05:01", 106
"May 25, 2026 at 18:05:02", 107
"May 25, 2026 at 18:05:03", 107
"May 25, 2026 at 18:05:04", 107
"May 25, 2026 at 18:05:05", 107
"May 25, 2026 at 18:05:06", 105
"May 25, 2026 at 18:05:07", 104
"May 25, 2026 at 18:05:08", 103
"May 25, 2026 at 18:05:09", 102
"May 25, 2026 at 18:05:10", 102
"May 25, 2026 at 18:05:11", 102
"May 25, 2026 at 18:05:12", 103
"May 25, 2026 at 18:05:13", 104
"May 25, 2026 at 18:05:14", 105
"May 25, 2026 at 18:05:15", 105
"May 25, 2026 at 18:05:16", 106
"May 25, 2026 at 18:05:17", 107
"May 25, 2026 at 18:05:18", 107
"May 25, 2026 at 18:05:19", 107
"May 25, 2026 at 18:05:20", 107
"May 25, 2026 at 18:05:21", 107
"May 25, 2026 at 18:05:22", 108
"May 25, 2026 at 18:05:23", 108
